Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
123,9.394332849614297,1,428.85212388088837,71.55805593352893,473.1797511621164,153.89554894127167,451,112,Nenhuma,0.8
123,9.394332849614297,2,5.623161510450771,98.38808941651978,78.95935001557667,247.71749648665974,42,173,Nenhuma,0.8
123,9.394332849614297,3,100.38271876071381,51.19228432071722,172.4535406243769,166.2233298233084,136,108,Nenhuma,0.8
123,9.394332849614297,10,304.5023824670598,7.962582641296287,347.45159766953276,96.99930425310308,325,52,Nenhuma,0.8
123,9.394332849614297,12,377.5635510799568,214.55526364723278,474.8734724809815,357.04148014847567,426,285,Nenhuma,0.8
123,9.394332849614297,18,189.3505820644104,33.96637543809284,255.4623236786387,162.46457048204473,222,98,Nenhuma,0.8
123,9.394332849614297,20,462.7845554994141,226.41236077238173,549.6136218844921,345.423457379449,506,285,Nenhuma,0.8
126,9.623462919117085,1,427.13918184675754,71.63627376741549,475.49089725226617,159.94978523958082,451,115,Nenhuma,0.8
126,9.623462919117085,2,8.110026429355713,97.37826166886447,80.88250419069976,247.2433694589684,44,172,Nenhuma,0.8
126,9.623462919117085,3,102.3226005568443,50.905785375577274,178.57879828666336,174.91201458859877,140,112,Nenhuma,0.8
126,9.623462919117085,10,304.4726828498421,7.962116229878788,347.44221264862085,97.70390944053675,325,52,Nenhuma,0.8
126,9.623462919117085,12,363.7430872122517,209.84091222234912,464.41370529543866,357.03988862916964,414,283,Nenhuma,0.8
126,9.623462919117085,18,189.7081424406955,33.99020358874134,256.6234748397509,162.89208039343222,223,98,Nenhuma,0.8
126,9.623462919117085,20,453.49057749013383,224.69438297309745,550.0428040073186,357.1285922002297,501,290,Nenhuma,0.8
129,9.852592988619874,1,425.5883047775043,71.66742317315442,477.238358577282,164.6901227399229,451,118,Nenhuma,0.8
129,9.852592988619874,2,8.502167723650842,97.02400942064503,81.42118266973459,247.19103260390966,44,172,Nenhuma,0.8
129,9.852592988619874,3,104.71192648656269,50.805780686303784,182.41402215784638,178.69734182102223,143,114,Nenhuma,0.8
129,9.852592988619874,10,305.3347639926294,8.622213516274655,347.23016083687185,96.64936612122649,326,52,Nenhuma,0.8
129,9.852592988619874,12,352.37117101137335,206.70891857095432,454.53964337898236,357.03656238736687,403,281,Nenhuma,0.8
129,9.852592988619874,18,190.77473106993943,35.34788562572557,257.9523979559522,163.04114486385987,224,99,Nenhuma,0.8
129,9.852592988619874,20,449.1311065088445,223.2754318876997,550.2359241298846,361.9518457113878,499,292,Nenhuma,0.8
132,10.08172305812266,1,418.01123611637695,71.03382892612126,484.2238363891899,192.7288288983629,451,131,Nenhuma,0.8
132,10.08172305812266,2,14.023824671055834,93.81488279929712,89.39093565412786,247.80874428845138,51,170,Nenhuma,0.8
132,10.08172305812266,3,109.01412601448487,53.918217185518465,185.10339679417677,179.50357568926356,147,116,Nenhuma,0.8
132,10.08172305812266,10,306.0077024472125,10.20617781305549,346.8142343525389,96.2374533505511,326,53,Nenhuma,0.8
132,10.08172305812266,12,340.9597315814115,204.19375102287506,443.9253743327842,356.3775547900933,392,280,Nenhuma,0.8
132,10.08172305812266,18,191.6371583667341,35.17837895111534,259.8235530280003,163.08578409148822,225,99,Nenhuma,0.8
132,10.08172305812266,20,446.4795667115439,215.01930967943588,551.8821459829724,359.66985289833303,499,287,Nenhuma,0.8
132,10.08172305812266,22,433.8081730674034,131.6763358738978,499.1101864055127,247.66452323204925,466,189,Nenhuma,0.8
135,10.31085312762545,1,415.7009794796189,71.38990259432092,486.32026231015715,203.71263228459708,451,137,Nenhuma,0.8
135,10.31085312762545,2,14.830364623179129,91.71682518121544,91.05741384825299,246.60576132533237,52,169,Nenhuma,0.8
